   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]          Value        Fitness    Temperature     Generation
   1.8534798535   2.2197802198   2.4786324786   1.9120879121   1.7069597070   1.6776556777   1.8534798535   2.2442002442   2.3516483516   1.9365079365   1.8388278388   1.6776556777   0.0015892856   0.0176696587   0.0500624509           9338
   1.8534798535   2.2197802198   2.4737484737   1.9120879121   1.7069597070   1.6776556777   1.8534798535   2.2393162393   2.3516483516   1.9365079365   1.8485958486   1.6776556777   0.0015875641   0.0176506158   0.0001995013           9518
   1.8534798535   2.2197802198   2.4786324786   1.9120879121   1.7069597070   1.6776556777   1.8534798535   2.2393162393   2.3516483516   1.9365079365   1.8388278388   1.6776556777   0.0015856004   0.0176288951   0.0001000000           9517
   1.8534798535   2.2197802198   2.4786324786   1.9120879121   1.7069597070   1.6776556777   1.8534798535   2.2393162393   2.3516483516   1.9365079365   1.8437118437   1.6776556777   0.0015848150   0.0176202069   1.5821259571           9454
   1.8534798535   2.2197802198   2.4737484737   1.9120879121   1.7069597070   1.6776556777   1.8534798535   2.2393162393   2.3516483516   1.9365079365   1.8388278388   1.6776556777   0.0015805723   0.0175732752   0.0001995013           9548
   1.8534798535   2.2197802198   2.4737484737   1.9120879121   1.7069597070   1.6776556777   1.8534798535   2.2393162393   2.3516483516   1.9365079365   1.8437118437   1.6776556777   0.0015797868   0.0175645866   6.2969846586           9497
   1.8534798535   2.2197802198   2.4737484737   1.9120879121   1.7069597070   1.7167277167   1.8485958486   2.2442002442   2.3516483516   1.9365079365   1.8388278388   1.6776556777   0.0015786280   0.0175517674   0.0001995013           9623
   1.8534798535   2.2197802198   2.4737484737   1.9120879121   1.7069597070   1.7167277167   1.8485958486   2.2442002442   2.3516483516   1.9365079365   1.8437118437   1.6776556777   0.0015701914   0.0174584395   0.0998752540           9585
   1.8534798535   2.2197802198   2.4737484737   1.9120879121   1.7069597070   1.7167277167   1.8534798535   2.2393162393   2.3516483516   1.9365079365   1.8388278388   1.6776556777   0.0015421224   0.0171478937   0.0007940308           9628
   1.8534798535   2.2197802198   2.4737484737   1.9120879121   1.7069597070   1.7167277167   1.8534798535   2.2393162393   2.3516483516   1.9365079365   1.8437118437   1.6776556777   0.0015413370   0.0171392030  25.0624898820           9633
