   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019942585   0.0221433691  50.0000000000          47146
   2.1115214891   1.8038816335  -7.6701770824   2.2298534053   1.6990179836   1.9689316731   1.7407162035   1.1354166946   3.8255985871   1.7796869147   1.4481706290   4.7309884269  31.7770097723  15.7038825147  25.0624898820          47134
   0.7133621403  -8.4970151482   6.1586937999   9.7559916828   4.7356447420   2.2765560315   6.2018368364   2.2392769002   0.7004267395   5.1020452441  -6.2323591848   4.9617442466  18.6006896404  12.3311164767  12.5625679817          47141
   1.9650371054   1.8233938112   7.1749459013   2.2463328985   4.1989978670  -8.6560689602   0.5284077244   9.8965227542   0.1533991190   1.7894656533   1.6141850718   1.6941840466   8.2461962826   8.3153804793   6.2969846586          47149
   1.9650371054   1.8429250624   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0024079288   0.0267011919   3.1563622859          47113
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019942585   0.0221433691   1.5821259571          47145
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6841132453   0.0019941921   0.0221426362   0.7930403158          47109
   1.9650561789   1.8038625600   2.3409338201   1.9149119803   1.6989142715   2.1248741224   1.7700106961   2.3854739896   2.6533992680   1.7894477719   1.6196794283   1.6844565680   0.0104549832   0.1130277437   0.3975112978          47081
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019942585   0.0221433691   0.1992524576          47122
   1.9650371054   1.8038625600   2.3299570280   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019938905   0.0221393092   0.0998752540          47125
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.2292239803   2.5752742633   1.7894477719   1.6141862639   1.6841132453   0.0091047618   0.0988459098   0.0500624509          47151
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6843039801   0.0019942758   0.0221435603   0.0250937934          47155
   1.9650371054   1.8038625600   2.3299570280   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6843039801   0.0019939079   0.0221395004   0.0125782589          49914
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6841132453   0.0019941921   0.0221426362   0.0125782589          47080
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6841132453   0.0019942089   0.0221428217   0.0015841021          49847
   1.9650382975   1.8037099721   2.3311681945   2.2292430537   1.6991514980   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019958591   0.0221610282   0.0015841021          49928
   1.9647319296   1.8038625600   2.3311777312   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6841132453   0.0019943941   0.0221448648   0.0007940308          47015
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6841132453   0.0019942089   0.0221428217   0.0003980078          46924
   1.9650371054   1.8038625600   2.3299570280   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019938905   0.0221393092   0.0001995013          49924
   1.9650371054   1.8038625600   2.3299570280   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6843039801   0.0019939079   0.0221395004   0.0001000000          49221
