   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]          Value        Fitness    Temperature     Generation
  -3.7826617827  -0.4859584860  -2.0976800977  -4.0757020757   8.6910866911   5.9902319902  -7.9536019536   2.4444444444   9.5555555556   0.3833943834   7.8266178266  -0.1782661783 102.5976546286  25.1305121411  50.0000000000           9945
   1.5067155067  -4.7057387057   1.4920634921   0.6910866911   3.6703296703   9.9609279609   1.5897435897  -4.3003663004  -1.7948717949   8.5787545788  -4.8278388278  -4.2612942613  73.9494904619  22.2149433432  25.0624898820           9945
  -1.2039072039   6.7667887668  -2.8595848596  -3.1526251526   8.2905982906  -5.1746031746   7.0451770452   7.6752136752  -2.9523809524  -4.5641025641  -7.1282051282   3.1282051282  36.3729247580  16.6471858461  12.5625679817           9945
   7.4212454212   8.9743589744  -8.8131868132  -8.1196581197   9.1550671551  -3.6898656899   1.7655677656  -9.5995115995   1.8144078144   1.0866910867  -4.0708180708   2.2100122100  87.8785272286  23.7244065049   6.2969846586           9945
   1.8437118437   2.0390720391   2.4542124542   8.8083028083  -6.3369963370  -6.4004884005  -1.5555555556  -6.5763125763   8.2759462759   7.4554334554  -1.1892551893   8.3296703297  28.2654777637  14.9163488812   3.1563622859           9940
   1.8437118437   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3467643468   1.9365079365   1.8241758242   1.7216117216   0.0027362940   0.0303105457   1.5821259571           9936
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3516483516   1.9169719170   1.8241758242   1.7411477411   0.0027087891   0.0300085051   0.7930403158           9944
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3516483516   1.9169719170   1.8241758242   1.7411477411   0.0027087891   0.0300085051   0.3975112978           9944
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3516483516   1.9365079365   1.8241758242   1.7216117216   0.0027275836   0.0302148991   0.1992524576           9936
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3467643468   1.9169719170   1.8241758242   1.7362637363   0.0027123545   0.0300476613   0.0998752540           9944
   1.8437118437   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3516483516   1.9169719170   1.8241758242   1.7362637363   0.0027161818   0.0300896921   0.0500624509           9944
   1.8437118437   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3467643468   1.9365079365   1.8241758242   1.7557997558   0.0028332646   0.0313749876   0.0250937934           9928
   1.8437118437   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3467643468   1.9365079365   1.8241758242   1.7411477411   0.0027631098   0.0306049670   0.0125782589           9942
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3467643468   1.9365079365   1.8241758242   1.7216117216   0.0027271233   0.0302098443   0.0063048497           9940
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3516483516   1.9169719170   1.8241758242   1.7411477411   0.0027087891   0.0300085051   0.0031603046           9942
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3516483516   1.9169719170   1.8241758242   1.7362637363   0.0027070110   0.0299889778   0.0015841021           9941
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8778998779   1.4041514042   1.8485958486   2.2393162393   2.3516483516   1.9169719170   1.8241758242   1.7362637363   0.0027424181   0.0303777883   0.0007940308           9944
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3516483516   1.9169719170   1.8241758242   1.7362637363   0.0027070110   0.0299889778   0.0003980078           9941
   1.8339438339   2.0390720391   2.4688644689   2.2881562882   1.8925518926   1.4041514042   1.8485958486   2.2393162393   2.3516483516   1.9169719170   1.8241758242   1.7411477411   0.0027087891   0.0300085051   0.0001995013           9944
   1.8437118437   2.0390720391   2.4688644689   2.2881562882   1.8778998779   1.4041514042   1.8485958486   2.2393162393   2.3467643468   1.9365079365   1.8241758242   1.7216117216   0.0026794720   0.0296865058   0.0001000000           9941
